Prel	transmission
0.92988	0.229209
0.929883	0.216723
0.929831	0.205282
0.929855	0.193657
0.929782	0.183206
0.929709	0.172046
0.92964	0.163438
0.929702	0.154308
0.929581	0.14615
0.929536	0.138411
0.929518	0.130581
0.929487	0.125438
0.929365	0.118881
0.929529	0.113409
0.929376	0.107623
0.929456	0.100615
0.929372	0.0956005
0.929379	0.0908445
0.929327	0.0876631
0.929282	0.0837621
0.929136	0.0787423
0.929133	0.0753687
0.92906	0.0729055
0.929105	0.0690073
0.929088	0.065727
0.929035	0.0614229
0.929053	0.0589765
0.928973	0.0558375
0.928963	0.0533384
0.928876	0.0521306
0.928778	0.049907
0.928789	0.0470966
0.928747	0.0452392
0.92898	0.0434748
0.928723	0.0413352
0.928716	0.0395842
0.928789	0.0381696
0.928799	0.0365338
0.928688	0.0349655
0.928605	0.033541
0.928612	0.0321757
0.928605	0.0309979
0.928525	0.0291423
0.928553	0.0277739
0.928507	0.0270365
0.9284	0.0262671
0.928428	0.0252486
0.92832	0.0241327
0.928309	0.0234171
0.928309	0.0225575
0.928296	0.0216564
0.92824	0.0208527
0.928309	0.0199793
0.928323	0.0194038
0.928309	0.0189034
0.928264	0.0182665
0.928157	0.0173688
0.928157	0.0167894
0.928195	0.0165802
0.928174	0.0159462
0.92816	0.0154106
0.928143	0.0152007
0.92816	0.014687
0.928087	0.0142321
0.92807	0.013932
0.928049	0.0133613
0.927993	0.0131514
0.92799	0.0128414
0.927934	0.0123466
0.92791	0.0121955
0.927903	0.011796
0.9279	0.0116105
0.927913	0.0113138
0.927924	0.0110436
0.927865	0.0107952
0.927907	0.0105541
0.927882	0.0103136
0.927882	0.0101246
0.927743	0.00972225
0.92774	0.00961149
0.927747	0.00942501
0.92782	0.0092384
0.927747	0.00906587
0.927761	0.00895069
0.927719	0.00878434
0.927597	0.00875356
0.927497	0.00864385
0.927625	0.00846425
0.927563	0.00837907
0.927458	0.00819274
0.927462	0.00807524
0.927493	0.00795348
0.927413	0.00786725
0.927451	0.00777184
0.927434	0.00768232
0.927441	0.00759167
0.927365	0.00747699
0.927375	0.0074167
0.927417	0.00735662
0.927368	0.00728021
0.927382	0.00719882
0.927354	0.0071475
0.927382	0.00704003
0.927406	0.00699068
